ticker,filing_date,transaction_date,reporting_name,type_of_owner,transaction_type,securities_transacted,price,transaction_value,is_purchase
TCBI,2026-04-29,2026-04-28,Arbour Paola M,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Huntley David S.,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Whitley Laura L,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Midkiff Mark W,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Tremblay Dale W,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Long Thomas E,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Baliff Jonathan,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,ROSENBERG STEVE,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-29,2026-04-28,Clark Ranjana B,director,A-Award,1092.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-21,Hyle Charles S,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-21,Hyle Charles S,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,Whitley Laura L,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,Whitley Laura L,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,Tremblay Dale W,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,Tremblay Dale W,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,STALLINGS ROBERT W,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,STALLINGS ROBERT W,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,ROSENBERG STEVE,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,ROSENBERG STEVE,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,Ragusa Elysia Holt,director,M-Exempt,1670.0,0.0,0.0,False
TCBI,2026-04-23,2026-04-22,Ragusa Elysia Holt,director,M-Exempt,1670.0,0.0,0.0,False
