ticker,company_name,sector,price,market_cap,avg_dollar_volume,is_recent_ipo
BGC,"BGC Group, Inc",Financials,10.45,4964847250,34458739.15,False
AX,"Axos Financial, Inc.",Financials,86.91,4943840586,21864122.52,False
HLNE,Hamilton Lane Incorporated,Financials,87.13,4838661040,114790464.05999999,False
MAIN,Main Street Capital Corporation,Financials,51.21,4762007658,18143703.0,False
CLSK,"CleanSpark, Inc.",Financials,18.29,4693371404,410181837.27,False
NNI,"Nelnet, Inc.",Financials,130.57,4691905514,13920198.27,False
FFIN,"First Financial Bankshares, Inc.",Financials,32.68,4682453472,27393258.36,False
LAZ,Lazard Ltd,Financials,47.33,4659055631,44631196.07,False
UWMC,UWM Holdings Corporation,Financials,3.06,4638488451,46915867.980000004,False
MKTX,MarketAxess Holdings Inc.,Financials,130.04,4621556580,90421493.44,False
ASB,Associated Banc-Corp,Financials,27.81,4614847020,30391407.63,False
RLI,RLI Corp.,Financials,50.04,4600592532,37382982.48,False
EBC,"Eastern Bankshares, Inc.",Financials,19.73,4560451390,41260895.21,False
RDN,Radian Group Inc.,Financials,34.17,4543762447,28134723.75,False
BRBI,BRBI BR Partners S.A. ADSs,Financials,13.88,4508191632,10548.800000000001,False
IBOC,International Bancshares Corporation,Financials,72.16,4486995392,28177397.599999998,False
MIAX,"Miami International Holdings, Inc. ",Financials,47.25,4484359814,36663448.5,False
FGN,"F&G Annuities & Life, Inc.",Financials,25.01,4467019643,756052.3,False
TFSL,TFS Financial Corporation,Financials,15.91,4461675363,14682829.88,False
LMND,"Lemonade, Inc.",Financials,58.0,4455605762,62734366.0,False
PFSI,"PennyMac Financial Services, Inc.",Financials,83.87,4354941363,59700427.27,False
TCBI,"Texas Capital Bancshares, Inc.",Financials,99.49,4344821721,43546275.55,False
CNO,"CNO Financial Group, Inc.",Financials,45.97,4291230683,15245031.1,False
SFBS,"ServisFirst Bancshares, Inc.",Financials,77.99,4263153566,8610329.969999999,False
FHI,"Federated Hermes, Inc.",Financials,56.06,4255663607,41899412.18,False
SLM,SLM Corporation,Financials,22.12,4171455960,54932520.440000005,False
FULT,Fulton Financial Corporation,Financials,21.69,4145696460,34586093.160000004,False
MAAS,Maase Inc.,Financials,11.89,4139013228,108234.67,False
RYAN,"Ryan Specialty Holdings, Inc.",Financials,31.85,4121843066,54074006.35,False
AB,AllianceBernstein Holding L.P.,Financials,37.14,4105355396,15079619.94,False
ASBA,Associated Banc-Corp,Financials,24.75,4082166000,390629.25,False
ENVA,"Enova International, Inc.",Financials,161.51,4019159553,20388214.849999998,False
SEZL,Sezzle Inc.,Financials,118.15,3973032177,64374854.550000004,False
PJT,PJT Partners Inc.,Financials,152.9,3948469417,39236586.4,False
UCB,"United Community Banks, Inc.",Financials,32.95,3943674887,15609008.100000001,False
CATY,Cathay General Bancorp,Financials,57.66,3865265489,25676055.66,False
TMH,Toyota Motor Corporation ADRhedged,Financials,52.14,3849131220,13191.42,False
INDB,Independent Bank Corp.,Financials,79.08,3815594421,24062146.08,False
MRX,Marex Group plc Ordinary Shares,Financials,52.94,3808020258,40060439.16,False
RNST,Renasant Corporation,Financials,40.72,3757320726,14109724.32,False
BBAR,Banco BBVA Argentina S.A.,Financials,18.35,3747742821,11816500.850000001,False
WSFS,WSFS Financial Corporation,Financials,71.45,3718547087,32205230.1,False
FBP,First BanCorp.,Financials,23.98,3709330761,22622372.3,False
BANF,BancFirst Corporation,Financials,110.29,3704242622,19164652.14,False
FG,"F&G Annuities & Life, Inc.",Financials,27.72,3672483923,21640671.36,False
BFH,"Bread Financial Holdings, Inc.",Financials,89.07,3599060397,46701894.95999999,False
BHF,"Brighthouse Financial, Inc.",Financials,62.55,3593233852,38641388.4,False
CNS,"Cohen & Steers, Inc.",Financials,69.8,3588110880,9213949.0,False
ETOR,eToro Group Ltd.,Financials,41.98,3532860190,123742640.85999998,False
HCXY,"Hercules Capital, Inc.",Financials,25.025,3527546673,59434.375,False
