Capital Called,,,,Distributions,,
Date,Amount,Name,,Date,Amount,Name
8/14/2019,"600,000",Capital Call,,1/19/2021,"154,252",Capital Gain
10/25/2019,"240,000",Capital Call,,1/19/2021,"52,280",Capital Returned
12/4/2019,"240,000",Capital Call,,1/19/2021,"26,980",Other Income
4/15/2020,"600,000",Capital Call,,5/24/2021,"51,660",Capital Gain
8/24/2020,"960,000",Capital Call,,5/24/2021,"129,449",Capital Returned
11/23/2020,"480,000",Capital Call,,5/24/2021,"32,242",Dist - Dividend
12/23/2020,"960,000",Capital Call,,5/24/2021,"1,299",Other Income
3/8/2021,"600,000",Capital Call,,6/10/2021,"596,122",Capital Gain
8/25/2021,"600,000",Capital Call,,6/10/2021,"157,449",Capital Returned
9/14/2021,"3,251",Fees - No Impact,,9/14/2021,"100,525",Capital Gain
10/14/2021,"600,000",Capital Call,,9/14/2021,"114,901",Capital Returned
11/26/2021,"600,000",Capital Call,,9/14/2021,24,Dist - Dividend
2/3/2022,"600,000",Capital Call,,9/14/2021,"5,752",Other Income
5/12/2022,"600,000",Capital Call,,11/26/2021,"53,607",Capital Gain
10/5/2022,"600,000",Capital Call,,11/26/2021,"60,461",Capital Returned
10/12/2022,"1,535",Fees - No Impact,,11/26/2021,"7,418",Dist - Dividend
12/21/2022,"1,211",Fees - No Impact,,11/26/2021,"1,003",Other Income
2/17/2023,"600,000",Capital Call,,7/29/2022,"943,060",Capital Gain
5/11/2023,"600,000",Capital Call,,7/29/2022,"569,280",Capital Returned
6/30/2023,"600,000",Capital Call,,7/29/2022,"8,465",Dist - Dividend
Total," 12,000,000 ",,,7/29/2022,"4,174",Other Income
,,,,10/12/2022,"207,252",Capital Gain
,,,,10/12/2022,"78,603",Capital Returned
,,,,10/12/2022,"1,382",Dist - Dividend
,,,,10/12/2022,208,Other Income
,,,,12/21/2022,"172,977",Capital Gain
,,,,12/21/2022,"195,094",Capital Returned
,,,,12/21/2022,"6,164",Other Income
,,,,1/18/2023,"378,544",Capital Gain
,,,,1/18/2023,"2,346",Capital Returned
,,,,1/18/2023,152,Other Income
,,,,Total,"4,113,125",
